Index,ID,x,y,Region,Source,Species,Presence
1,Balkan_DB_1,19.519803,43.800511,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
2,Balkan_DB_3,19.347322,43.58622,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
3,Balkan_DB_4,20.6184,41.7562,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
4,Balkan_DB_5,16.62808,43.9254,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
5,Balkan_DB_6,17.25338,44.34423,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
6,Balkan_DB_7,19.53789,42.05445,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
7,Balkan_DB_8,20.18039,41.786988,Balkans,Durojic_UniBelgrade,Dianthus sylvestris ssp agg.,1
8,Casazza_Li 11,7.476111,44.005833,Central,Casazza_UniGenova,Dianthus sylvestris ssp sylvestris,1
9,Casazza_Li 12,9.954883,44.145,Apennines,Casazza_UniGenova,Dianthus sylvestris ssp longicaulis,1
10,Casazza_Li 15,7.586075,43.89875,Central,Casazza_UniGenova,Dianthus sylvestris ssp sylvestris,1
11,Casazza_Li 16,7.605833,43.925417,Central,Casazza_UniGenova,Dianthus sylvestris ssp sylvestris,1
12,Casazza_Li 17,7.607194,43.93395,Central,Casazza_UniGenova,Dianthus sylvestris ssp sylvestris,1
13,Casazza_Li 18,7.720472,43.972556,Central,Casazza_UniGenova,Dianthus sylvestris ssp sylvestris,1
14,CBNA_100130,6.71382,45.959209,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
15,CBNA_100205,6.672872,45.929614,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
16,CBNA_100664,6.672004,45.947024,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
17,CBNA_102969,6.70062,45.7324,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
18,CBNA_104853,6.744487,45.825495,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
19,CBNA_108277,6.201705,45.813317,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
20,CBNA_109191,6.222162,45.842183,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
21,CBNA_111164,6.72373,46.23678,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
22,CBNA_112192,6.77669,46.253889,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
23,CBNA_112193,6.77935,46.2538,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
24,CBNA_112621,6.751955,46.303265,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
25,CBNA_112729,6.758456,46.294974,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
26,CBNA_113141,6.20676,45.9048,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
27,CBNA_113327,6.1021,45.7421,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
28,CBNA_113383,6.072708,45.760129,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
29,CBNA_113854,6.472483,46.338265,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
30,CBNA_114231,6.46533,46.3324,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
31,CBNA_114232,6.46577,46.3323,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
32,CBNA_115616,5.896744,46.027027,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
33,CBNA_116254,5.958142,46.037328,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
34,CBNA_117371,6.65373,45.9711,Central,CBNA,Dianthus sylvestris ssp sylvestris,1
